municipio,ccaa,provincia,ph_medio,dureza_media,parametros_ok,parametros_fuera_rango,n_muestras,n_potable,no_potabilidad
COLMENAREJO,"Madrid, Comunidad de",Madrid,7.982857142857142,37.0,502,4,35,33,25.221891950359957
VILLABLINO,Castilla y León,León,7.391666666666667,43.5,223,6,25,20,25.21223640962047
REDUEÑA,"Madrid, Comunidad de",Madrid,8.489795918367347,37.0,687,5,51,47,25.192259995095245
VILLANUEVA DE LA CAÑADA,"Madrid, Comunidad de",Madrid,8.068627450980392,38.0,749,7,53,48,25.187411562977424
CASTELLAR,Andalucía,Jaén,7.968461538461539,43.5,181,5,16,13,25.18431799066717
TUINEJE,Canarias,Palmas (Las),7.134862385321101,51.5,1152,43,114,86,25.166726053912964
SAN FERNANDO DE HENARES,"Madrid, Comunidad de",Madrid,8.047916666666667,37.0,721,5,52,48,25.164007556219023
PARLA,"Madrid, Comunidad de",Madrid,7.689887640449438,37.0,1255,8,94,89,25.16191163021759
COLLADO VILLALBA,"Madrid, Comunidad de",Madrid,7.848888888888888,39.333333333333336,754,9,51,45,25.152360545192565
AVEINTE,Castilla y León,Avila,7.6,47.0,64,3,5,2,25.15066437909838
MALAGÓN,Castilla - La Mancha,Ciudad Real,6.678571428571429,64.125,308,25,19,4,25.150327694793585
SIERRA DE FUENTES,Extremadura,Cáceres,7.599999999999999,49.0,77,4,5,2,25.14756981278834
FRESNO DE TOROTE,"Madrid, Comunidad de",Madrid,8.410714285714286,37.0,415,3,31,28,25.13334336059768
LEGANÉS,"Madrid, Comunidad de",Madrid,7.677319587628866,37.2,1417,9,103,98,25.12762236911597
ALCORCÓN,"Madrid, Comunidad de",Madrid,8.092682926829267,36.75,1736,9,125,119,25.115027890781622
COLLADO MEDIANO,"Madrid, Comunidad de",Madrid,7.867441860465116,37.0,630,4,48,45,25.09408648780267
PUEBLA DE MONTALBÁN (LA),Castilla - La Mancha,Toledo,7.542857142857143,40.0,112,2,7,6,25.081999682902605
TORRES DE LA ALAMEDA,"Madrid, Comunidad de",Madrid,8.078947368421053,36.0,543,2,39,37,25.046933154628164
CAMARMA DE ESTERUELAS,"Madrid, Comunidad de",Madrid,8.299999999999999,36.0,545,2,40,39,25.04586518941214
LOZOYUELA-NAVAS-SIETEIGLESIAS,"Madrid, Comunidad de",Madrid,8.965714285714286,37.0,501,3,38,36,25.039097478804344
VILAFLOR DE CHASNA,Canarias,Santa Cruz de Tenerife,6.600934579439252,45.66666666666666,643,16,125,112,24.9699524605706
NAVACERRADA,"Madrid, Comunidad de",Madrid,8.109756097560975,37.0,593,3,43,41,24.96594452478076
DAGANZO DE ARRIBA,"Madrid, Comunidad de",Madrid,7.908888888888888,37.0,623,3,45,43,24.94634067251621
AGRÓN,Andalucía,Granada,7.666666666666667,39.0,73,1,3,2,24.925166509500603
PINILLA DEL VALLE,"Madrid, Comunidad de",Madrid,9.216326530612246,37.0,665,3,50,48,24.921597229599453
TALAMANCA DE JARAMA,"Madrid, Comunidad de",Madrid,8.623913043478261,40.0,644,7,49,43,24.87850181106344
YELES,Castilla - La Mancha,Toledo,7.779999999999999,42.0,91,2,5,4,24.865578962022585
BOALO (EL),"Madrid, Comunidad de",Madrid,8.006122448979593,38.0,709,4,57,54,24.81961614456341
ALMODÓVAR DEL CAMPO,Castilla - La Mancha,Ciudad Real,6.766666666666667,47.0,469,13,16,4,24.816880873019887
PATERNA DEL RÍO,Andalucía,Almería,7.8,43.0,81,2,4,2,24.78483338110803
ALCAÑIZO,Castilla - La Mancha,Toledo,7.35,42.0,98,2,8,7,24.784536155052376
VALDEOLMOS-ALALPARDO,"Madrid, Comunidad de",Madrid,8.285714285714286,40.0,604,6,46,40,24.779823048620944
AÑOVER DE TAJO,Castilla - La Mancha,Toledo,7.633333333333333,44.0,69,2,3,2,24.77370868878613
ROBLEDILLO DE LA JARA,"Madrid, Comunidad de",Madrid,9.272,38.0,353,2,25,24,24.763139686175293
ROZAS DE MADRID (LAS),"Madrid, Comunidad de",Madrid,8.181967213114755,40.75,939,10,66,60,24.75457337304797
MADROÑO (EL),Andalucía,Sevilla,7.581818181818182,52.0,171,8,27,22,24.714645188678727
URNIETA,País Vasco,Guipúzcoa,7.561702127659574,51.68,703,25,47,22,24.698102998401897
POZUELOS DE CALATRAVA (LOS),Castilla - La Mancha,Ciudad Real,6.8,55.0,38,3,4,2,24.685653646083374
TURÓN,Andalucía,Granada,7.1,49.0,14,1,2,1,24.655922055573114
SALDAÑA,Castilla y León,Palencia,7.357142857142857,44.0,127,3,17,15,24.65423497085168
NAVAHERMOSA,Castilla - La Mancha,Toledo,7.8,48.0,74,3,4,1,24.646128535078336
POBOLEDA,Cataluña,Tarragona,8.066666666666666,538.5,82,5,5,2,24.63048176263129
AJALVIR,"Madrid, Comunidad de",Madrid,8.077272727272726,40.0,599,5,49,44,24.62868454914842
MEJORADA,Castilla - La Mancha,Toledo,6.875,50.5,84,4,11,9,24.618767221787067
VILLATORRES,Andalucía,Jaén,7.729166666666667,44.333333333333336,363,7,25,21,24.573366651400608
BERMEO,País Vasco,Vizcaya,7.800000000000001,41.57142857142857,847,9,48,39,24.557943730486464
CERVERA DE LOS MONTES,Castilla - La Mancha,Toledo,7.825,43.0,99,2,8,7,24.557087634308864
PARACUELLOS DE LA RIBERA,Aragón,Zaragoza,7.8,531.0,74,9,7,2,24.53269806040731
SANTISTEBAN DEL PUERTO,Andalucía,Jaén,8.0545,44.0,265,5,23,20,24.522810783577697
SAN CIBRAO DAS VIÑAS,Galicia,Ourense,7.498387096774193,42.0,494,6,62,58,24.518989098195277
MONTEJO DE LA SIERRA,"Madrid, Comunidad de",Madrid,8.742307692307692,39.0,387,2,26,25,24.510114144405428
ULEILA DEL CAMPO,Andalucía,Almería,8.299999999999999,49.0,71,3,5,2,24.508832861835145
SEGOVIA,Castilla y León,Segovia,7.532432432432432,49.0,801,21,64,51,24.455816548921263
CORDOBILLA DE LÁCARA,Extremadura,Badajoz,7.65,50.0,38,2,4,2,24.451845716694898
CARRAL,Galicia,Coruña (A),6.855263157894737,38.0,541,1,65,64,24.440940909838275
SORIHUELA DEL GUADALIMAR,Andalucía,Jaén,8.117692307692307,45.0,186,4,15,12,24.40861266148841
ARQUILLOS,Andalucía,Jaén,8.39,45.0,190,4,11,8,24.380824605741363
BÉRCHULES,Andalucía,Granada,7.628571428571428,46.75,148,4,7,3,24.35653251283035
AGÜIMES,Canarias,Palmas (Las),8.22857142857143,47.57142857142857,361,9,33,24,24.35147140894364
POZOBLANCO,Andalucía,Córdoba,7.368666666666667,250.0,240,93,63,9,24.343969024632123
VILLANUEVA DE PERALES,"Madrid, Comunidad de",Madrid,8.23191489361702,39.0,662,2,47,46,24.343665077138063
YUNCOS,Castilla - La Mancha,Toledo,7.2,54.5,113,6,5,1,24.312458741039645
ROZAS DE PUERTO REAL,"Madrid, Comunidad de",Madrid,7.629787234042554,40.0,651,3,48,47,24.27952383119814
CAZALEGAS,Castilla - La Mancha,Toledo,7.458333333333333,48.0,179,5,13,11,24.227862428700405
BUSTILLO DEL PÁRAMO,Castilla y León,León,8.1,57.833333333333336,91,6,15,9,24.223537981355285
SAN MIGUEL DE SALINAS,Comunitat Valenciana,Alicante/Alacant,8.55,49.0,122,4,6,2,24.190089088789808
BATRES,"Madrid, Comunidad de",Madrid,7.801851851851852,39.0,751,1,56,55,24.1821289606609
PALENCIANA,Andalucía,Córdoba,7.133333333333333,540.0,68,3,3,1,24.139760040862637
NAVAS DEL REY,"Madrid, Comunidad de",Madrid,8.072340425531914,42.0,662,5,48,44,24.1313667361548
MONEVA,Aragón,Zaragoza,8.0,514.0,17,8,4,1,24.130578081580733
VILLAR DEL POZO,Castilla - La Mancha,Ciudad Real,7.0,60.5,62,5,4,0,24.11499618738619
ALONSOTEGI,País Vasco,Vizcaya,8.071428571428571,43.0,283,3,16,14,24.073811304344467
ALCALÁ DE HENARES,"Madrid, Comunidad de",Madrid,8.180357142857142,44.8,881,10,63,57,23.937014500434348
MONTIZÓN,Andalucía,Jaén,7.85,46.5,353,6,27,23,23.90062496610171
INGENIO,Canarias,Palmas (Las),8.295172413793104,45.25,371,5,43,38,23.879126921255143
LEZO,País Vasco,Guipúzcoa,7.691428571428571,57.0,542,22,36,14,23.8577171831176
NAVALAFUENTE,"Madrid, Comunidad de",Madrid,8.563829787234043,42.0,644,3,49,47,23.85027060484676
VILAMARTÍN DE VALDEORRAS,Galicia,Ourense,7.671428571428572,56.0,198,9,11,3,23.847669762124053
MUNDAKA,País Vasco,Vizcaya,7.892857142857143,43.333333333333336,526,4,32,28,23.8214615286102
CHAPINERÍA,"Madrid, Comunidad de",Madrid,9.069230769230767,44.0,556,5,42,39,23.813124133229994
SAN BARTOLOMÉ,Canarias,Palmas (Las),7.901754385964912,59.0,573,25,59,42,23.72707318722401
PARRILLAS,Castilla - La Mancha,Toledo,7.375,47.0,98,2,8,7,23.701202821719043
VEDRA,Galicia,Coruña (A),7.566666666666667,52.0,48,2,5,3,23.59242871296793
NAVAS DE SAN JUAN,Andalucía,Jaén,8.245999999999999,45.5,266,3,22,19,23.578205656090187
PESAGUERO,Cantabria,Cantabria,7.7,98.0,13,5,2,0,23.535162413193504
ALOVERA,Castilla - La Mancha,Guadalajara,7.933333333333334,48.0,38,1,6,5,23.518799790043825
AZLOR,Aragón,Huesca,8.25,83.5,70,11,8,3,23.384983651834588
SAN ROMÁN DE LOS MONTES,Castilla - La Mancha,Toledo,7.745384615384615,48.0,186,3,13,11,23.3492914457525
GILET,Comunitat Valenciana,Valencia/València,7.714814814814815,540.0,312,7,30,26,23.32786065833657
BARCO DE VALDEORRAS (O),Galicia,Ourense,7.385714285714286,57.5,131,6,8,2,23.278548649616656
CUBILLOS DEL SIL,Castilla y León,León,7.56,50.0,196,4,18,14,23.257658139084388
GÜÍMAR,Canarias,Santa Cruz de Tenerife,8.752083333333333,88.2,490,57,57,25,23.247157898245984
TORO,Castilla y León,Zamora,8.384210526315789,51.5,459,9,65,57,23.11587900371848
BURGOS,Castilla y León,Burgos,7.990757575757575,45.0,839,3,73,70,23.11005167827801
CASAS DE DON PEDRO,Extremadura,Badajoz,7.238461538461538,51.0,134,3,16,15,23.068440991475
BRUNETE,"Madrid, Comunidad de",Madrid,8.174468085106383,45.0,645,2,48,46,23.050180403231167
VILAMARXANT,Comunitat Valenciana,Valencia/València,7.596153846153846,540.0,260,5,30,27,23.009431812055624
BUBIÓN,Andalucía,Granada,7.633333333333333,52.0,71,2,3,1,23.002127207252855
TABUENCA,Aragón,Zaragoza,7.55,529.5,40,5,4,1,22.98651580886438
TITULCIA,"Madrid, Comunidad de",Madrid,8.11,46.0,707,3,54,51,22.949530881701147
CUBILLO DE UCEDA (EL),Castilla - La Mancha,Guadalajara,7.9,49.0,59,1,2,1,22.911051799376665
FORMENTERA,"Balears, Illes",Balears (Illes),8.523880597014927,48.5,539,5,72,68,22.86034117879855
PRAVIA,"Asturias, Principado de",Asturias,7.529999999999999,57.75,186,7,10,6,22.85343319534533
BOQUEIXÓN,Galicia,Coruña (A),7.483333333333333,56.0,112,4,7,3,22.82986008121723
CABEZAS DEL POZO,Castilla y León,Avila,8.4,71.0,74,7,10,3,22.82908050571292
TORREMAYOR,Extremadura,Badajoz,7.166666666666667,77.0,77,9,9,3,22.82710382967096
VILLANUEVA DE LA REINA,Andalucía,Jaén,7.399999999999999,55.5,215,6,14,10,22.675185359133508
FRESNEDILLAS DE LA OLIVA,"Madrid, Comunidad de",Madrid,8.492682926829268,47.0,565,2,42,40,22.65222864649318
BADAJOZ,Extremadura,Badajoz,7.345312499999999,60.7,1164,37,130,116,22.625533061791124
VILLÁRDIGA,Castilla y León,Zamora,7.7555555555555555,537.0,110,4,14,11,22.5996012077105
BAÑOS DE LA ENCINA,Andalucía,Jaén,7.184347826086957,54.5,313,7,24,20,22.585420785193705
JABALQUINTO,Andalucía,Jaén,7.540000000000001,55.0,152,4,12,9,22.5280432584673
CERCEDA,Galicia,Coruña (A),7.077777777777778,68.0,209,13,13,6,22.51620943889515
SANT JOAN D'ALACANT,Comunitat Valenciana,Alicante/Alacant,8.540869565217392,48.66666666666666,1013,5,116,111,22.46586329375959
SETCASES,Cataluña,Girona,7.775,50.0,90,1,5,4,22.412016432114317
BARALLA,Galicia,Lugo,6.9,58.5,73,3,4,2,22.396990052413365
OROTAVA (LA),Canarias,Santa Cruz de Tenerife,8.3,52.0,2167,22,365,348,22.392879588028396
LAGARTERA,Castilla - La Mancha,Toledo,7.3,53.0,99,2,8,7,22.390420967642196
CAZALILLA,Andalucía,Jaén,7.69090909090909,55.0,167,4,12,9,22.389471746250333
TÍAS,Canarias,Palmas (Las),7.8629729729729725,64.47368421052632,1360,50,117,83,22.388177260690654
HOYO DE MANZANARES,"Madrid, Comunidad de",Madrid,7.885365853658537,49.0,594,3,44,42,22.36526228463615
MORALEJA DE MATACABRAS,Castilla y León,Avila,8.2,65.0,23,2,9,7,22.326382512292444
HUELVA,Andalucía,Huelva,7.563768115942029,54.5,1078,17,71,60,22.32166915910003
LANJARÓN,Andalucía,Granada,6.995348837209303,61.0,274,10,44,35,22.26880297079917
PORZUNA,Castilla - La Mancha,Ciudad Real,7.37,77.5,323,26,20,5,22.25444774665296
PALAFRUGELL,Cataluña,Girona,7.33394495412844,539.6666666666666,1017,9,226,223,22.19613935402948
SOBER,Galicia,Lugo,7.2,65.0,63,4,6,2,22.195330283242285
BECERRIL DE LA SIERRA,"Madrid, Comunidad de",Madrid,7.8,60.0,101,4,5,2,22.16482233949261
VÁLOR,Andalucía,Granada,7.640000000000001,60.5,98,4,7,3,22.117977836213512
PEÑARANDA DE BRACAMONTE,Castilla y León,Salamanca,7.7,64.0,121,6,9,5,22.071779977055897
RETUERTA DEL BULLAQUE,Castilla - La Mancha,Ciudad Real,6.82,73.83333333333333,154,12,13,5,22.05240962256703
VILLAGARCÍA DEL LLANO,Castilla - La Mancha,Cuenca,7.433333333333334,536.0,48,2,3,2,22.01013418501758
ALAQUÀS,Comunitat Valenciana,Valencia/València,7.647058823529412,535.0,407,13,34,26,22.00078226963616
ARREDONDO,Cantabria,Cantabria,8.2,60.0,17,1,2,1,21.95369914930537
QUART DE POBLET,Comunitat Valenciana,Valencia/València,7.490909090909091,535.0,507,15,44,36,21.8933696269323
MENGÍBAR,Andalucía,Jaén,7.452608695652174,54.5,304,4,24,21,21.8085513309974
GUARROMÁN,Andalucía,Jaén,7.634193548387096,56.0,464,7,32,28,21.73924159975899
PASAIA,País Vasco,Guipúzcoa,7.640000000000001,66.26315789473684,599,23,47,25,21.711983338747544
ARTENARA,Canarias,Palmas (Las),8.245454545454546,57.0,266,5,14,9,21.70142123605978
MONESTERIO,Extremadura,Badajoz,8.933333333333334,67.0,25,2,3,2,21.68578278908356
ESPARRAGALEJO,Extremadura,Badajoz,7.3,80.0,74,8,8,3,21.633262678076324
BOLVIR,Cataluña,Girona,7.428571428571429,67.5,132,7,9,4,21.607895355208463
URRETXU,País Vasco,Guipúzcoa,7.866666666666666,59.4,246,6,18,12,21.6062105316884
GARROVILLA (LA),Extremadura,Badajoz,7.2,77.0,74,7,7,3,21.529080505712923
MARMOLEJO,Andalucía,Jaén,7.395365853658536,55.5,541,6,43,39,21.51259556823642
MAJADAHONDA,"Madrid, Comunidad de",Madrid,8.196226415094339,54.333333333333336,781,6,60,55,21.490490392882236
ALBUÑÁN,Andalucía,Granada,7.05,61.5,86,3,5,3,21.45018466477373
TORRALBA DE OROPESA,Castilla - La Mancha,Toledo,7.242857142857143,58.0,87,2,7,6,21.450123109849155
SORIA,Castilla y León,Soria,7.580871080139373,52.5,2160,6,291,286,21.444159238290982
VALDELACALZADA,Extremadura,Badajoz,7.166666666666667,77.5,74,7,6,2,21.42074717237959
GRANADA,Andalucía,Granada,7.947435897435897,54.8,1125,8,80,73,21.37160998362565
ARRECIFE,Canarias,Palmas (Las),7.7575,60.0,213,5,21,16,21.35403843915705
SUANCES,Cantabria,Cantabria,7.724444444444444,62.0,208,6,12,6,21.325346211206337
BAILÉN,Andalucía,Jaén,7.32735294117647,55.5,426,4,35,32,21.321433686991224
CARBONEROS,Andalucía,Jaén,7.763636363636365,57.0,292,4,23,20,21.304134893000548
MESEGAR DE CORNEJA,Castilla y León,Avila,6.8,80.5,20,3,7,4,21.27626474053584
HORCAJO DE LA SIERRA-AOSLOS,"Madrid, Comunidad de",Madrid,9.07222222222222,54.0,763,3,54,52,21.19022442044586
CARPIO DE TAJO (EL),Castilla - La Mancha,Toledo,7.5,60.0,30,1,1,0,21.176968985225677
MORALEJA DE ENMEDIO,"Madrid, Comunidad de",Madrid,7.742857142857142,55.0,722,4,49,46,21.12787271164189
CABAÑAS DE SAYAGO,Castilla y León,Zamora,7.0125,62.0,99,3,11,8,21.1114000438268
VILLANUEVA DEL PARDILLO,"Madrid, Comunidad de",Madrid,8.325000000000001,60.0,665,11,55,44,21.09085171602149
GERENA,Andalucía,Sevilla,7.561111111111111,60.0,350,6,20,14,20.98594443921396
BONILLA DE LA SIERRA,Castilla y León,Avila,7.3,75.0,79,6,13,9,20.96636772544489
VALVERDE DEL CAMINO,Andalucía,Huelva,7.56,60.0,154,3,24,23,20.951062270612823
GODELLA,Comunitat Valenciana,Valencia/València,7.546511627906977,533.3333333333334,470,13,43,35,20.921337601129693
GÁLVEZ,Castilla - La Mancha,Toledo,8.166666666666666,62.0,71,2,3,1,20.83546054058619
BRAOJOS,"Madrid, Comunidad de",Madrid,9.076923076923077,56.0,387,2,26,25,20.82678081107209
NAVAS DE ORO,Castilla y León,Segovia,8.1,70.0,96,5,13,8,20.76771908577215
RIBAS DE CAMPOS,Castilla y León,Palencia,7.949999999999999,72.0,61,4,5,4,20.767373608024396
TALAMANTES,Aragón,Zaragoza,8.35,90.0,30,5,6,2,20.67896915383452
LÁNCARA,Galicia,Lugo,7.540000000000001,64.0,99,3,6,3,20.678066710493468
NAVALMANZANO,Castilla y León,Segovia,7.9,66.0,77,3,6,4,20.671877649503248
BURGUILLOS DEL CERRO,Extremadura,Badajoz,7.166666666666667,74.5,53,4,4,1,20.63248387075062
CABEZÓN DE LA SAL,Cantabria,Cantabria,7.6,70.0,313,12,17,7,20.538384190705663
CECLAVÍN,Extremadura,Cáceres,7.193333333333333,65.0,136,4,16,15,20.537563762543027
PINAR DE EL HIERRO (EL),Canarias,Santa Cruz de Tenerife,7.728292682926829,58.0,1565,6,365,360,20.35498155584704
LEGAZPI,País Vasco,Guipúzcoa,7.765625,64.0,416,8,33,28,20.34618875850062
VERGES,Cataluña,Girona,7.45,534.0,82,2,4,3,20.32159018346263
ARÉVALO,Castilla y León,Avila,7.816129032258065,63.0,502,8,71,65,20.31738108004793
BOADILLA DEL MONTE,"Madrid, Comunidad de",Madrid,8.196,59.8,808,6,53,48,20.284472068212544
ALMONTE,Andalucía,Huelva,7.207142857142857,66.5,262,7,17,11,20.27692430865488
TORRES DE ALBARRACÍN,Aragón,Teruel,7.666666666666667,68.0,76,3,4,1,20.262757787683437
GARRUCHA,Andalucía,Almería,8.3375,534.3333333333334,172,3,18,15,20.218442208168064
GABIRIA,País Vasco,Guipúzcoa,7.928571428571429,63.0,181,3,14,11,20.12671745722024
NAVALCARNERO,"Madrid, Comunidad de",Madrid,8.053333333333333,60.0,646,4,45,43,20.098016274665405
HERRERA DEL DUQUE,Extremadura,Badajoz,7.566666666666666,76.0,77,5,7,3,20.07495584046437
PALMA DE CERVELLÓ (LA),Cataluña,Barcelona,8.4,72.5,78,4,6,2,20.0249646723715
ARAFO,Canarias,Santa Cruz de Tenerife,8.325308641975308,62.5,1198,12,180,171,20.014412931547845
QUARTELL,Comunitat Valenciana,Valencia/València,8.01304347826087,530.0,224,9,24,20,20.007624027247523
ANDRATX,"Balears, Illes",Balears (Illes),7.886666666666666,62.0,494,5,46,41,20.000726000096854
MUTILOA,País Vasco,Guipúzcoa,7.959999999999999,63.0,126,2,10,9,19.98901853227227
SANCHONUÑO,Castilla y León,Segovia,7.833333333333333,66.0,73,2,9,7,19.932293336114533
CORRALES DEL VINO,Castilla y León,Zamora,7.040384615384616,62.0,415,4,55,51,19.9316196086157
PUEBLA DE LA CALZADA,Extremadura,Badajoz,7.266666666666667,78.5,51,4,5,2,19.882959420195924
SEVILLA LA NUEVA,"Madrid, Comunidad de",Madrid,8.248979591836735,59.0,666,1,49,48,19.862940013897628
LEDESMA,Castilla y León,Salamanca,7.5625,63.0,245,3,36,35,19.851150727181096
PONFERRADA,Castilla y León,León,7.706965174129353,62.888888888888886,1533,13,214,204,19.80039632883588
OLULA DE CASTRO,Andalucía,Almería,8.0,68.0,72,2,3,1,19.516999685667876
VILLANUEVA DE SAN CARLOS,Castilla - La Mancha,Ciudad Real,6.671428571428572,82.66666666666667,108,8,10,7,19.51527571799001
GUARDIA (LA),Castilla - La Mancha,Toledo,7.966666666666666,528.0,67,4,3,2,19.48814084961676
ESPELUY,Andalucía,Jaén,7.566666666666666,74.0,178,7,12,7,19.432630994990376
SANTA MARTA DE TORMES,Castilla y León,Salamanca,7.694285714285715,76.0,353,14,47,34,19.41398024618205
SAN MARTÍN Y MUDRIÁN,Castilla y León,Segovia,8.066666666666666,73.0,68,3,7,4,19.39389636651252
SIRUELA,Extremadura,Badajoz,7.4,96.0,30,5,5,2,19.37896915383452
BUENAVENTURA,Castilla - La Mancha,Toledo,7.128571428571428,67.0,97,2,8,7,19.378839450299424
SAX,Comunitat Valenciana,Alicante/Alacant,8.019354838709678,531.5,460,9,62,58,19.33476563260737
BREDA,Cataluña,Girona,7.933333333333334,82.0,48,4,4,2,19.314439387431936
ALDEANUEVA DE SANTA CRUZ,Castilla y León,Avila,7.833333333333333,77.0,95,5,11,6,19.27800705429761
ALGECIRAS,Andalucía,Cádiz,7.1475757575757575,69.4,711,13,71,65,19.237233157499997
MONTIJO,Extremadura,Badajoz,7.111111111111111,77.5,169,8,14,9,19.221406926751698
PEDRO ABAD,Andalucía,Córdoba,7.725,72.0,123,4,14,11,19.19229776248171
CERVELLÓ,Cataluña,Barcelona,8.36,65.0,234,2,145,144,19.11175905748893
SEGURILLA,Castilla - La Mancha,Toledo,7.2875,68.0,103,2,9,8,19.09907783641297
VEGA DE SAN MATEO,Canarias,Palmas (Las),7.805084745762712,69.33333333333333,810,13,74,61,19.068620126905785
ILLESCAS,Castilla - La Mancha,Toledo,7.8625,68.5,160,3,8,6,19.06627191770197
ALPUJARRA DE LA SIERRA,Andalucía,Granada,7.4875,69.5,197,4,8,4,19.026224188278967
VILLA DEL RÍO,Andalucía,Córdoba,7.646666666666666,72.0,190,5,17,13,18.930044099704048
MARTORELL,Cataluña,Barcelona,7.553125,66.0,672,5,96,94,18.922209817718656
SANT CUGAT DEL VALLÈS,Cataluña,Barcelona,7.848780487804878,67.14285714285714,1077,10,363,354,18.917251664535858
BUENAVISTA DEL NORTE,Canarias,Santa Cruz de Tenerife,7.715544554455445,67.0,873,8,107,100,18.907127938010763
SANCTI-SPÍRITUS,Castilla y León,Salamanca,7.116666666666667,96.5,143,15,16,8,18.81004290400561
ZERAIN,País Vasco,Guipúzcoa,8.069230769230769,67.0,189,2,13,11,18.80911794674084
BUJALANCE,Andalucía,Córdoba,7.7,72.0,178,4,15,12,18.61741301742025
MONTORO,Andalucía,Córdoba,7.61875,72.0,239,5,17,13,18.59096051553629
VALVERDE,Canarias,Santa Cruz de Tenerife,8.061142857142858,74.5,1008,22,196,176,18.581278847630028
BECERREÁ,Galicia,Lugo,7.7,84.0,72,5,4,2,18.54354755846389
VILLAFRANCA DE CÓRDOBA,Andalucía,Córdoba,7.7266666666666675,72.0,190,4,15,13,18.530824605741365
PARETS DEL VALLÈS,Cataluña,Barcelona,7.4825,68.0,659,5,180,175,18.50082935951183
ADANERO,Castilla y León,Avila,8.166666666666666,79.5,105,5,12,7,18.48604331907659
VILALLONGA DE TER,Cataluña,Girona,7.175,87.5,74,6,5,2,18.48542196567316
MONTFERRER I CASTELLBÒ,Cataluña,Lleida,7.757142857142857,79.66666666666667,160,7,12,6,18.460542887914887
EZKIO-ITSASO,País Vasco,Guipúzcoa,7.987999999999999,70.8,414,6,25,19,18.45484989293194
HUÉTOR VEGA,Andalucía,Granada,7.936956521739131,66.0,349,1,46,45,18.45117655243425
VILLAREJO DE ÓRBIGO,Castilla y León,León,8.057142857142857,76.0,154,5,14,9,18.42728324617948
ORMAIZTEGI,País Vasco,Guipúzcoa,7.973333333333333,67.0,186,1,15,14,18.403368784897232
VALBUENA DE PISUERGA,Castilla y León,Palencia,7.5,,12,8,7,3,18.26713462634054
TORRE DE SANTA MARÍA,Extremadura,Cáceres,7.166666666666667,82.0,48,3,3,1,18.21972484972871
OLVENA,Aragón,Huesca,8.1,79.0,65,3,4,1,18.1853155790227
TALAVERA DE LA REINA,Castilla - La Mancha,Toledo,7.243478260869565,74.25,589,11,47,43,18.172113606997183
ADAMUZ,Andalucía,Córdoba,7.766666666666667,72.0,191,3,15,13,18.123118454306024
VALLE DE VILLAVERDE,Cantabria,Cantabria,7.633333333333333,72.0,116,2,6,5,18.11503139655378
ARANDA DE DUERO,Castilla y León,Burgos,7.7,528.0,346,9,39,34,18.108185393166647
TINAJO,Canarias,Palmas (Las),7.89375,76.0,232,6,18,13,18.104264928601555
GÜÉJAR SIERRA,Andalucía,Granada,7.431999999999999,70.0,87,1,5,4,18.098441805446765
VILLANUEVA DE BOGAS,Castilla - La Mancha,Toledo,8.149999999999999,524.0,55,4,2,1,18.032929263442263
ARMILLA,Andalucía,Granada,7.733333333333333,72.0,392,5,46,41,18.030941814600336
MAÇANET DE CABRENYS,Cataluña,Girona,7.82,70.0,108,1,5,4,17.9801884295433
GÁLDAR,Canarias,Palmas (Las),7.731111111111111,79.8,387,12,33,23,17.912916337041196
RAFELGUARAF,Comunitat Valenciana,Valencia/València,8.133333333333333,518.6666666666666,80,9,11,6,17.893736852768576
FUENTEPELAYO,Castilla y León,Segovia,7.866666666666667,76.0,67,2,5,3,17.88050517770262
CÚLLAR VEGA,Andalucía,Granada,7.892,71.5,414,4,51,49,17.875013369685792
LOURENZÁ,Galicia,Lugo,7.399999999999999,80.66666666666667,155,6,9,3,17.866220173594364
MEQUINENZA,Aragón,Zaragoza,8.266666666666666,519.0,72,8,7,2,17.83933002569011
REINOSA,Cantabria,Cantabria,7.55,75.0,290,5,43,40,17.696701556184085
SANT ANDREU DE LA BARCA,Cataluña,Barcelona,7.8830508474576275,70.0,538,2,59,57,17.682967737713696
BARBERÀ DEL VALLÈS,Cataluña,Barcelona,7.9,74.0,197,3,4,1,17.65991027097996
CÁJAR,Andalucía,Granada,7.763636363636365,73.5,327,4,45,41,17.62729032669181
PEÑAMELLERA ALTA,"Asturias, Principado de",Asturias,8.025,91.0,227,14,17,5,17.5662251279097
BAÑEZA (LA),Castilla y León,León,7.472727272727273,85.16666666666667,281,12,27,17,17.53884119191834
OGÍJARES,Andalucía,Granada,7.8875,71.0,435,2,49,47,17.534210298957955
ALQUIFE,Andalucía,Granada,7.5,73.0,85,1,4,3,17.462270795889363
AGUILAFUENTE,Castilla y León,Segovia,7.933333333333334,78.0,71,2,10,8,17.368793873919522
BILBAO,País Vasco,Vizcaya,7.852427184466019,72.5,2014,10,211,203,17.355895296573337
VILLAYÓN,"Asturias, Principado de",Asturias,8.210526315789474,74.5,469,5,20,16,17.33354137194641
OLIVA DE LA FRONTERA,Extremadura,Badajoz,7.399999999999999,102.5,56,7,7,2,17.22313847226612
ZARZA DE MONTÁNCHEZ,Extremadura,Cáceres,7.666666666666667,90.0,54,4,4,1,17.218142183350746
CHURRIANA DE LA VEGA,Andalucía,Granada,7.807142857142857,73.0,328,2,42,40,17.210798640185793
