municipio,ccaa,provincia,ph_medio,dureza_media,parametros_ok,parametros_fuera_rango,n_muestras,n_potable,no_potabilidad
ZIORTZA-BOLIBAR,País Vasco,Vizcaya,8.033333333333333,,143,0,12,12,0.0
BISAURRI,Aragón,Huesca,7.9,,10,0,1,1,0.0
ÉJEME,Castilla y León,Salamanca,7.7,,12,0,3,3,0.0
SOCUÉLLAMOS,Castilla - La Mancha,Ciudad Real,7.425925925925926,245.6,309,0,28,28,0.0
ADRADOS,Castilla y León,Segovia,8.2,195.0,62,0,4,4,0.0
SOCOVOS,Castilla - La Mancha,Albacete,7.919999999999999,,89,0,5,5,0.0
ZÚJAR,Andalucía,Granada,7.825,337.3333333333333,92,0,6,6,0.0
AGUAVIVA,Aragón,Teruel,8.040000000000001,319.5,113,0,5,5,0.0
SOBRADILLO,Castilla y León,Salamanca,7.5,,12,0,3,3,0.0
SELVA,"Balears, Illes",Balears (Illes),7.75,,16,0,2,2,0.0
ÁGREDA,Castilla y León,Soria,7.725,,78,0,11,11,0.0
SELLENT,Comunitat Valenciana,Valencia/València,7.966666666666666,,66,0,3,3,0.0
ÁRCHEZ,Andalucía,Málaga,8.0,280.0,65,0,4,4,0.0
BOADILLA DEL CAMINO,Castilla y León,Palencia,7.85,170.5,70,0,7,7,0.0
SEIRA,Aragón,Huesca,8.2,,10,0,1,1,0.0
ABEJUELA,Aragón,Teruel,7.7,,10,0,1,1,0.0
SEGURA DE LA SIERRA,Andalucía,Jaén,7.771428571428571,,146,0,7,7,0.0
SERRATO,Andalucía,Málaga,7.3,,40,0,1,1,0.0
ZAOREJAS,Castilla - La Mancha,Guadalajara,8.05,,20,0,2,2,0.0
ZALLA,País Vasco,Vizcaya,7.713333333333334,,272,0,21,21,0.0
BOCAIRENT,Comunitat Valenciana,Valencia/València,7.703571428571428,245.0,274,0,30,30,0.0
ALOZAINA,Andalucía,Málaga,7.82,,60,0,5,5,0.0
SIURANA,Cataluña,Girona,8.2,,58,0,3,3,0.0
ABARCA DE CAMPOS,Castilla y León,Palencia,8.05,,53,0,4,4,0.0
OLIVAR (EL),Castilla - La Mancha,Guadalajara,7.8,,10,0,1,1,0.0
AGUASAL,Castilla y León,Valladolid,9.4,,10,0,1,1,0.0
SILOS (LOS),Canarias,Santa Cruz de Tenerife,8.3,,476,0,80,80,0.0
ZAMUDIO,País Vasco,Vizcaya,7.914285714285714,,92,0,10,10,0.0
SIÉTAMO,Aragón,Huesca,8.149999999999999,,71,0,4,4,0.0
BICORP,Comunitat Valenciana,Valencia/València,7.825,225.0,93,0,6,6,0.0
SINARCAS,Comunitat Valenciana,Valencia/València,7.433333333333334,,97,0,7,7,0.0
SINLABAJOS,Castilla y León,Avila,8.0,,13,0,4,4,0.0
AGUADULCE,Andalucía,Sevilla,7.433333333333334,244.0,71,0,3,3,0.0
ABLITAS,"Navarra, Com. Foral de",Navarra,8.057142857142857,249.0,120,0,7,7,0.0
ZAPARDIEL DE LA RIBERA,Castilla y León,Avila,7.4,,55,0,6,6,0.0
BAIONA,Galicia,Pontevedra,6.659999999999999,,137,0,5,5,0.0
VILLAFRANCA DE EBRO,Aragón,Zaragoza,7.925000000000001,177.5,87,0,5,5,0.0
NAVALUCILLOS (LOS),Castilla - La Mancha,Toledo,6.775,,59,0,4,4,0.0
