municipio,CODAUTO,CPRO,CMUN,provincia,longitud,latitud,generacion_litros,generacion_norm,no_potabilidad
SOT DE CHERA,10,46,234,Valencia/València,-0.912936,39.61357,14.060594425,0.696350974876725,4.76622115776173
"GRANJA D'ESCARP, LA",9,25,102,Lleida,0.373929,41.405446,10.47953,0.4134542107366219,4.755759770991556
"FLORESTA, LA",9,25,92,Lleida,0.92443,41.496849,10.47953,0.4134542107366219,4.739018087563457
"OMELLS DE NA GAIA, ELS",9,25,154,Lleida,1.076902,41.496791,10.47953,0.4134542107366219,4.739018087563457
"PALMA D'EBRE, LA",9,43,99,Tarragona,0.664075,41.270723,13.112731000000004,0.6214717032536644,4.738483693192964
"VALLECILLO, EL",2,44,249,Teruel,-1.574903,40.243894,5.245796875,0.0,4.731209376726918
CABAÑAS DE YEPES,8,45,26,Toledo,-3.537526,39.892938,8.060300000000002,0.222339989519934,4.726044906318859
"PEDROÑERAS, LAS",8,16,154,Cuenca,-2.704782,39.432483,6.2,0.0753800949545537,4.71439463500746
"OLIVAR, EL",8,19,200,Guadalajara,-2.761145,40.600483,6.8,0.1227788675929605,4.70779166063479
"VALLE, EL",1,18,902,Granada,-3.59518,36.928371,7.7,0.1938770265505707,4.704930506343406
"MESAS, LAS",8,16,124,Cuenca,-2.72921,39.351155,6.2,0.0753800949545537,4.699297560127388
ABRERA,9,8,1,Barcelona,1.905575,41.510509,12.4,0.5651674122180903,4.685126222320492
"CUERLAS, LAS",2,50,91,Zaragoza,-1.564467,40.961827,8.0,0.217576412869774,4.681957925257869
"PROVENCIO, EL",8,16,171,Cuenca,-2.582957,39.405178,6.2,0.0753800949545537,4.678758509352316
"FATARELLA, LA",9,43,56,Tarragona,0.46902,41.171394,13.112731000000004,0.6214717032536644,4.668030632247397
FUENTERROBLES,10,46,129,Valencia/València,-1.368114,39.578235,14.060594425,0.696350974876725,4.632538820968799
TORDELLEGO,8,19,271,Guadalajara,-1.681447,40.71371,6.8,0.1227788675929605,4.631309873798744
"AMETLLA DE MAR, L'",9,43,13,Tarragona,0.798723,40.880954,13.112731000000004,0.6214717032536644,4.628624072217694
MILAGRO,15,31,169,Navarra,-1.75023,42.238847,10.807375000000002,0.4393532950960195,4.622603383357776
"MADROÑO, EL",1,41,57,Sevilla,-6.447593,37.650185,10.807375000000002,0.4393532950960195,4.603324705839631
"PINAR, EL",1,18,910,Granada,-3.542241,36.894904,7.7,0.1938770265505707,4.600022967664238
BÁDENAS,2,44,32,Teruel,-1.125209,41.099498,5.245796875,0.0,4.591662919178985
MATARRUBIA,8,19,173,Guadalajara,-3.30026,40.873599,6.8,0.1227788675929605,4.57894051191219
MALAGUILLA,8,19,167,Guadalajara,-3.264328,40.832791,6.8,0.1227788675929605,4.567725578786747
PUEYO,15,31,207,Navarra,-1.658451,42.567452,10.807375000000002,0.4393532950960195,4.563266770911764
"GINETA, LA",8,2,35,Albacete,-1.970851,39.129589,7.2,0.1543780493518983,4.56035180807767
"FRAGO, EL",2,50,109,Zaragoza,-0.93296,42.28267,8.0,0.217576412869774,4.551544491995764
CASO,3,33,15,Asturias,-5.285451,43.140627,13.4,0.6441653666154349,4.542245015311611
"CERRO DE ANDÉVALO, EL",1,21,23,Huelva,-7.014838,37.708181,14.3,0.7152635255730452,4.512449138157883
"ESPLUGA DE FRANCOLÍ, L'",9,43,54,Tarragona,1.096238,41.382229,13.112731000000004,0.6214717032536644,4.494719950362596
"ALBI, L'",9,25,9,Lleida,0.923165,41.433062,10.47953,0.4134542107366219,4.4947057962102015
CASTRILLO DE CABRERA,7,24,43,León,-6.545953,42.348377,8.6,0.2649751855081808,4.470770148038973
MOLINA DE ARAGÓN,8,19,190,Guadalajara,-1.799641,40.882036,6.8,0.1227788675929605,4.468486641452934
PARRES,3,33,45,Asturias,-5.188845,43.390745,13.4,0.6441653666154349,4.458887941355462
"YUNTA, LA",8,19,332,Guadalajara,-1.661423,40.929202,6.8,0.1227788675929605,4.458541139523946
"HOSPITALET DE LLOBREGAT, L'",9,8,101,Barcelona,2.093195,41.360565,12.4,0.5651674122180903,4.452698516938296
"PRAT DE LLOBREGAT, EL",9,8,169,Barcelona,2.086837,41.339747,12.4,0.5651674122180903,4.443949662352431
ALARBA,2,50,9,Zaragoza,-1.61449,41.206829,8.0,0.217576412869774,4.441074621749481
"ALBERCA DE ZÁNCARA, LA",8,16,7,Cuenca,-2.477031,39.487467,6.2,0.0753800949545537,4.427771031741326
SETILES,8,19,255,Guadalajara,-1.600333,40.727557,6.8,0.1227788675929605,4.417388262087499
SANTA CRUZ DE NOGUERAS,2,44,208,Teruel,-1.090229,41.119263,5.245796875,0.0,4.408643484623327
"MATILLA, LA",7,40,125,Segovia,-3.803753,41.18734,7.610332400000002,0.1867934695748514,4.401499167298925
"CAMPILLO, EL",1,21,18,Huelva,-6.649779,37.705731,14.3,0.7152635255730452,4.389708933533119
"GUÁJARES, LOS",1,18,906,Granada,-3.60339,36.85191,7.7,0.1938770265505707,4.384506527515905
CAMPORROBLES,10,46,80,Valencia/València,-1.378168,39.636582,14.060594425,0.696350974876725,4.3748824312478085
NOGUERAS,2,44,164,Teruel,-1.077783,41.142827,5.245796875,0.0,4.37370510278261
MAJAELRAYO,8,19,165,Guadalajara,-3.323151,41.139916,6.8,0.1227788675929605,4.372436542276323
LUESMA,2,50,149,Zaragoza,-1.144475,41.164097,8.0,0.217576412869774,4.362326572944276
"CAÑAVATE, EL",8,16,49,Cuenca,-2.3271,39.541662,6.2,0.0753800949545537,4.359902268446
